timestamp,edge_node,edge_node_location,provider,bytes,user_id,user_location,execution_time,subarea
2371261,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,56808,24,"(5117.535287650085446073788999, 5364.555187568325954938294863)",783,4
2371675,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,66752,2,"(3644.107401249500730892985345, 3947.332658800671504120450867)",779,4
2373156,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,73419,0,"(7452.404228064015386328509835, 3779.988795681866990765794006)",839,5
2377996,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,77355,81,"(7574.745221137005806669630066, 4322.081930345077328578160259)",1015,5
2379817,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,76272,23,"(6380.792091774095204652391388, 5761.297251698802755526203996)",728,4
2381269,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,72529,16,"(3755.995434097810090754637257, 4685.527284725913218976058373)",1031,4
2384817,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,77383,47,"(2956.701322398449034438860838, 4200.242815407034986105087228)",765,3
2386438,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,56948,56,"(4796.524637583302675826498256, 7159.116370577485614620643067)",671,7
2389331,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,71753,99,"(1524.765050595917662508669013, 4771.649760187933657257283565)",828,3
2391059,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,80579,97,"(1262.712601193596809761182477, 2601.790025179002125832470230)",812,0
2392491,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,68576,85,"(767.938868264536817856623637, 6266.491930758243227881554242)",782,3
2394482,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,59848,19,"(4931.922011406111103605219102, 3681.431751831682211804044114)",739,4
2394572,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70429,44,"(3933.950315178860261420488650, 4961.880419616859874033314150)",843,4
2395235,5,"(3195, 813)",dwvuenmgxoclebjqxuolmboggnkcragj,84712,58,"(2665.826777082535828739486770, 1699.863911985344918660332557)",750,0
2397491,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,61426,95,"(4964.564925191429880434360240, 4287.534317377408191666646360)",728,4
2398000,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,65508,28,"(3496.519919490765624755670772, 8140.406521474324619344719598)",1125,7
2398518,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,86714,32,"(3740.045735235465715625336813, 5640.840161767045913856783072)",900,4
2401688,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,73099,62,"(4396.155880900090667215307981, 3984.574920909520679973799015)",862,4
2401867,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,74358,49,"(3117.237859188582513558141418, 4890.614972930835282501274495)",734,3
2403389,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,70785,90,"(3196.203808253508227013573371, 3786.043741370343562390718399)",765,3
2404470,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79152,91,"(2588.504674486593646770300362, 6267.229768138974820058795159)",1140,3
2405590,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,72979,57,"(4858.657984556577969154770017, 5239.669631231370418643242366)",859,4
2406168,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,68833,42,"(5782.022657404155108047459795, 6297.161641765192528506346894)",706,4
2409791,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,74261,20,"(2971.994606968754932772791990, 3936.446094866263013957411504)",726,3
2410172,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,84988,3,"(2065.202366300640971902632781, 6920.407753519475916322815502)",1240,6
2413224,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,75335,66,"(6635.221609846382071692267326, 4672.646953234156865697362424)",812,4
2413752,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,73793,5,"(4285.500918787974959068485134, 4934.688787433746402540465598)",796,4
